nom,roadname,gestionnaire,parc_id,sens_aire,nature,core,double,amenageur,operateur,p_cum,p_max,id_station_itinerance,station_id
A64 - LES PYRENEES,,ASF,1927,,aire de service,False,,TotalEnergies Marketing France,TotalEnergies Marketing France,1150.0,175.0,FRHPCPNF080070TOTEM,11104
Pyrénées Nord,,,1231,nord,aire de service,False,,,,,,,
Pyrénées Sud,,,1232,sud,aire de service,False,,,,,,,
Bordes Nord,,,1321,nord,aire de repos,False,,,,,,,
Bordes Sud,,,1322,sud,aire de repos,False,,,,,,,
Bandouliers,,,1307,,aire de repos,False,,,,,,,
Lac Saint Martin,,,1308,,aire de repos,False,,,,,,,
A64 - COMMINGES,,ASF,1928,,aire de service,False,,,,,,,
Pic du Midi,,,1309,,aire de repos,False,,,,,,,
Pic du Midi Nord,,,1310,nord,aire de repos,False,,,,,,,
Belvédère d'Auriac,,,1324,,aire de repos,True,,,,,,,
Belvédère de la Cite,,,1323,,aire de repos,True,,,,,,,
A61 - CARCASSONNE ARZENS NORD,,ASF,2231,nord,aire de service,True,,Electra,Electra,5044.0,300.0,FRELCP12953938,9395
A61 - CARCASSONNE ARZENS SUD,,ASF,2112,sud,aire de service,True,,Electra,Electra,5044.0,300.0,FRELCP12953935,9392
Bram,,,1325,,aire de repos,True,,,,,,,
Montreal,,,1326,,aire de repos,True,,,,,,,
Castelnaudary,,,1333,,aire de repos,True,,,,,,,
Mireval,,,1334,,aire de repos,True,,,,,,,
A61 - PORT LAURAGAIS NORD,,ASF,2236,nord,aire de service,True,,ENGIE Vianeo,ENGIE Vianeo,4362.0,300.0,FRVIAP104114,18152
A61 - PORT LAURAGAIS SUD,,ASF,1929,sud,aire de service,True,,TotalEnergies Marketing France,TotalEnergies Marketing France,1500.0,175.0,FRHPCPNF078569TOTEM,11082
Ayguesvives,,,1347,,aire de repos,True,,,,,,,
Baziege,,,1348,,aire de repos,True,,,,,,,
A61 - TOULOUSE SUD NORD,,ASF,1930,nord,aire de service,True,,Allego,Allego,650.0,300.0,FRALLPGO800030,5285
A61 - TOULOUSE SUD NORD,,ASF,1930,nord,aire de service,True,,Allego,Allego,650.0,300.0,FRALLPGO800031,5286
A61 - TOULOUSE SUD NORD,,ASF,1930,nord,aire de service,True,,Allego,Allego,600.0,300.0,FRALLPGO800032,5287
A61 - TOULOUSE SUD NORD,,ASF,1930,nord,aire de service,True,,Allego,Allego,600.0,300.0,FRALLPGO800033,5288
A61 - TOULOUSE SUD NORD,,ASF,1930,nord,aire de service,True,,Allego,Allego,600.0,300.0,FRALLPGO800034,5289
A61 - TOULOUSE SUD NORD,,ASF,1930,nord,aire de service,True,,Allego,Allego,44.0,22.0,FRALLPGO800501,5557
A61 - TOULOUSE SUD SUD,,ASF,2234,sud,aire de service,True,,CityFMET,SPIE CityNetworks,3868.0,300.0,FREVAP31161A,10239
Renneville,,,1341,,aire de repos,True,,,,,,,
Villefranche,,,1342,,aire de repos,True,,,,,,,
Mazères,,,1328,,aire de repos,False,,,,,,,
Rosefond,,,1329,,aire de repos,False,,,,,,,
Aire de Capens Volvestre,,,1931,,aire de service,False,,Ionity,Ionity,1543.0,350.0,FRIOYP9587517,11678
,,,2425,,aire de service,False,,Ionity,Ionity,1543.0,350.0,FRIOYP9587469,11663
A62 - GARONNE,,ASF,1932,,aire de service,True,,Electra,Electra,3844.0,300.0,FRELCP12953937,9394
A62 - GARONNE,,ASF,1932,,aire de service,True,,Electra,Electra,3844.0,300.0,FRELCP12953941,9398
Saint Porquier,,,1406,,aire de repos,True,,,,,,,
Escatalens,,,1405,,aire de repos,True,,,,,,,
Lacourt Saint Pierre,,,1400,,aire de repos,True,,,,,,,
La forêt de Montech,,,1398,,aire de repos,True,,,,,,,
A20 - NAUZE VERT,,ASF,1934,,aire de service,False,,ENGIE Vianeo,ENGIE Vianeo,4738.5,300.0,FRVIAP103109,18131
Campsas,,,1392,,aire de repos,True,,,,,,,
Naudy,,,1393,,aire de repos,True,,,,,,,
A62 - FRONTONNAIS NORD,,ASF,1933,nord,aire de service,True,,ENGIE Vianeo,ENGIE Vianeo,5886.0,300.0,FRVIAP104101,18139
A62 - FRONTONNAIS SUD,,ASF,2235,sud,aire de service,True,,ENGIE Vianeo,ENGIE Vianeo,4524.0,300.0,FRVIAP104102,18140
,,,2277,,aire de service,False,,TotalEnergies Marketing France,TotalEnergies Marketing France,3100.0,300.0,FRHPCPNF080232,11127
,,,2276,,aire de service,False,,,,,,,
,,,2426,,aire de service,False,,TotalEnergies Marketing France,TotalEnergies Marketing France,4800.0,300.0,FRHPCPNF079895,11090
Les Issarts,,,1389,,aire de repos,False,,,,,,,
Sanbatan,,,1388,,aire de repos,False,,,,,,,
Combe du Tréboulou Est,,,1434,est,aire de repos,False,,,,,,,
Combe du Tréboulou Ouest,,,1435,ouest,aire de repos,False,,,,,,,
A20 - BOIS DE DOURRE,,ASF,1935,,aire de service,False,,TotalEnergies Marketing France,TotalEnergies Marketing France,1150.0,175.0,FRHPCPNF078243TOTEM,11070
Queyran Nord,,,1432,nord,aire de repos,True,,,,,,,
Queyran Sud,,,1433,sud,aire de repos,True,,,,,,,
A62 - AGEN PORTE D'AQUITAINE,,ASF,1250,,aire de service,True,,TotalEnergies Marketing France,TotalEnergies Marketing France,4300.0,300.0,FRHPCPNF088576TOTEM,11177
Porte d'Aquitaine Sud,,,1249,sud,aire de service,True,,,,,,,
Porte d'Aquitaine Nord,,,1938,nord,aire de service,True,,,,,,,
Buzet-sur-Baïse Nord,,,1427,nord,aire de repos,True,,,,,,,
Buzet-sur-Baïse Sud,,,1428,sud,aire de repos,True,,,,,,,
Bruch Nord,,,1424,nord,aire de repos,True,,,,,,,
Bruch Sud,,,1425,sud,aire de repos,True,,,,,,,
Estillac,,,1423,,aire de repos,True,,,,,,,
Layrac Nord,,,1420,nord,aire de repos,True,,,,,,,
Layrac Sud,,,1421,sud,aire de repos,True,,,,,,,
