,id_station_itinerance,month,energy
152,FRTSLP1724,8,75788.211
153,FRTSLP1724,9,24195.2699
154,FRTSLP1725,3,1845.1399999999999
155,FRTSLP1725,4,105030.428
156,FRTSLP1725,5,94558.969
157,FRTSLP1725,6,84969.191
158,FRTSLP1725,7,126615.244
159,FRTSLP1725,8,111363.68
160,FRTSLP1725,9,69100.386
161,FRTSLP1726,3,1896.31
162,FRTSLP1726,4,91335.861
163,FRTSLP1726,5,89491.235
164,FRTSLP1726,6,96787.047
165,FRTSLP1726,7,168028.366
166,FRTSLP1726,8,219506.084
167,FRTSLP1726,9,73458.9309
168,FRTSLP1727,3,584.849
169,FRTSLP1727,4,52421.884
170,FRTSLP1727,5,32665.258
171,FRTSLP1727,6,39151.559
172,FRTSLP1727,7,48500.113
173,FRTSLP1727,8,76429.617
174,FRTSLP1727,9,39529.2143
175,FRTSLP1728,3,882.05
176,FRTSLP1728,4,57092.322
177,FRTSLP1728,5,53892.84
178,FRTSLP1728,6,62768.639
179,FRTSLP1728,7,83377.312
180,FRTSLP1728,8,95559.576
181,FRTSLP1728,9,47746.1813
182,FRTSLP1731,3,630.342
183,FRTSLP1731,4,26452.849
184,FRTSLP1731,5,23768.253
185,FRTSLP1731,6,27441.048
186,FRTSLP1731,7,38685.223
187,FRTSLP1731,8,31189.199
188,FRTSLP1731,9,19832.4001
189,FRTSLP1732,3,1323.739
190,FRTSLP1732,4,97827.494
191,FRTSLP1732,5,79190.539
192,FRTSLP1732,6,86798.625
193,FRTSLP1732,7,193689.717
194,FRTSLP1732,8,202970.164
195,FRTSLP1732,9,86631.4384
196,FRTSLP1733,3,654.506
197,FRTSLP1733,4,27525.377
198,FRTSLP1733,5,23548.079
199,FRTSLP1733,6,27211.654
200,FRTSLP1733,7,34800.905
201,FRTSLP1733,8,32823.449
202,FRTSLP1733,9,24426.4593
203,FRTSLP1734,3,916.539
204,FRTSLP1734,4,52929.871
205,FRTSLP1734,5,49396.492
206,FRTSLP1734,6,55643.086
207,FRTSLP1734,7,57438.478
208,FRTSLP1734,8,56095.853
209,FRTSLP1734,9,43295.2457
210,FRTSLP17341,3,3031.332
211,FRTSLP17341,4,246227.775
212,FRTSLP17341,5,244265.788
213,FRTSLP17341,6,269828.948
214,FRTSLP17341,7,357924.254
215,FRTSLP17341,8,421629.0
216,FRTSLP17341,9,185325.4257
217,FRTSLP17346,3,1730.859
218,FRTSLP17346,4,102851.049
219,FRTSLP17346,5,99260.542
220,FRTSLP17346,6,114527.596
221,FRTSLP17346,7,190413.686
222,FRTSLP17346,8,199139.417
223,FRTSLP17346,9,90563.7958
224,FRTSLP1735,3,658.9159999999999
225,FRTSLP1735,4,37319.718
226,FRTSLP1735,5,33637.127
227,FRTSLP1735,6,35226.969
228,FRTSLP1735,7,51311.571
229,FRTSLP1735,8,49427.458
230,FRTSLP1735,9,23915.8143
231,FRTSLP1736,3,3296.476
232,FRTSLP1736,4,189904.729
233,FRTSLP1736,5,166029.632
234,FRTSLP1736,6,162972.636
235,FRTSLP1736,7,250765.173
236,FRTSLP1736,8,300468.529
237,FRTSLP1736,9,169001.5805
238,FRTSLP1738,3,387.5
239,FRTSLP1738,4,44225.287
240,FRTSLP1738,5,41098.423
241,FRTSLP1738,6,9343.053
242,FRTSLP1738,7,64362.97
243,FRTSLP1738,8,74027.802
244,FRTSLP1738,9,36069.2521
245,FRTSLP1740,3,1398.729
246,FRTSLP1740,4,74316.531
247,FRTSLP1740,5,66934.416
248,FRTSLP1740,6,79852.954
249,FRTSLP1740,7,105286.491
250,FRTSLP1740,8,105193.541
251,FRTSLP1740,9,79928.0316
252,FRTSLP1742,3,1843.873
253,FRTSLP1742,4,85384.777
254,FRTSLP1742,5,77815.214
255,FRTSLP1742,6,73879.283
256,FRTSLP1742,7,84893.581
257,FRTSLP1742,8,75748.306
258,FRTSLP1742,9,53228.9495
259,FRTSLP1744,3,660.181
260,FRTSLP1744,4,55877.99
261,FRTSLP1744,5,53152.495
262,FRTSLP1744,6,49547.36
263,FRTSLP1744,7,74585.722
264,FRTSLP1744,8,78781.44
265,FRTSLP1744,9,27032.6962
266,FRTSLP1745,3,1469.585
267,FRTSLP1745,4,65240.876
268,FRTSLP1745,5,66434.179
269,FRTSLP1745,6,61242.535
270,FRTSLP1745,7,70543.2
271,FRTSLP1745,8,73993.237
272,FRTSLP1745,9,47093.5121
273,FRTSLP1747,3,3781.741
274,FRTSLP1747,4,213528.008
275,FRTSLP1747,5,197834.628
276,FRTSLP1747,6,199390.11
277,FRTSLP1747,7,235956.689
278,FRTSLP1747,8,195512.824
279,FRTSLP1747,9,177480.4374
280,FRTSLP17477,3,1851.109
281,FRTSLP17477,4,174263.918
282,FRTSLP17477,5,167355.241
283,FRTSLP17477,6,196643.961
284,FRTSLP17477,7,329903.554
285,FRTSLP17477,8,386008.664
286,FRTSLP17477,9,154708.6534
287,FRTSLP1749,3,695.471
288,FRTSLP1749,4,48507.94
289,FRTSLP1749,5,43745.305
290,FRTSLP1749,6,44259.881
291,FRTSLP1749,7,50325.639
292,FRTSLP1749,8,47795.639
293,FRTSLP1749,9,38798.423
294,FRTSLP1750,3,979.055
295,FRTSLP1750,4,61608.015
296,FRTSLP1750,5,58967.106
297,FRTSLP1750,6,55737.818
298,FRTSLP1750,7,63048.706
299,FRTSLP1750,8,51385.377
300,FRTSLP1750,9,42480.2908
301,FRTSLP1752,3,2406.278
302,FRTSLP1752,4,117976.855
303,FRTSLP1752,5,116773.426
304,FRTSLP1752,6,138671.971
305,FRTSLP1752,7,139684.788
306,FRTSLP1752,8,142330.078
307,FRTSLP1752,9,117282.7604
308,FRTSLP1753,3,2506.726
309,FRTSLP1753,4,152163.533
310,FRTSLP1753,5,123972.222
311,FRTSLP1753,6,124436.782
312,FRTSLP1753,7,154990.516
313,FRTSLP1753,8,147720.089
314,FRTSLP1753,9,101342.6129
315,FRTSLP1754,3,991.533
316,FRTSLP1754,4,62341.207
317,FRTSLP1754,5,80042.952
318,FRTSLP1754,6,91541.966
319,FRTSLP1754,7,78163.493
320,FRTSLP1754,8,63478.369
321,FRTSLP1754,9,48835.654
322,FRTSLP1755,3,2323.891
323,FRTSLP1755,4,109658.497
324,FRTSLP1755,5,116717.433
325,FRTSLP1755,6,127379.034
326,FRTSLP1755,7,148898.418
327,FRTSLP1755,8,132883.842
328,FRTSLP1755,9,107676.1909
329,FRTSLP1756,3,1656.177
