Aire,NomUsuel,Nature,GVO,Surface,Réseau,Axe
RRN C,TAVEL SUD,S,ASF,135291.0331,C,A9
RRN C,MARGUERITTES NORD,S,ASF,107111.9769,C,A9
RRN C,VILLAGE CATALAN EST,S,ASF,196649.6534,C,A9
RRN C,ASF_A_417 - Aire de Fitou Est,R,ASF,35576.15989,C,A9
RRN C,ASF_A_416 - Aire de Fitou Ouest,R,ASF,13317.35785,C,A9
RRN C,Aire du Rieu Sec,R,SFTRF,81034.70711,C,A43
RRN C,LA PALME EST,S,ASF,55790.87052,C,A9
RRN C,LA PALME OUEST,S,ASF,92286.87788,C,A9
RRN C,NARBONNE VINASSAN NORD,S,ASF,121173.9583,C,A9
RRN C,NARBONNE VINASSAN SUD,S,ASF,157226.1897,C,A9
RRN C,ASF_A_501 - Aire de Remouille Est,R,ASF,68845.27479,C,A83
RRN C,Angres,S,SANEF,24111.89741,C,A26
RRN C,Aire de Saint Leger,R,SFTRF,13167.15705,C,A43
RRN C,ASF_A_354 - Aire d'Orange le Coudoulet,R,ASF,27527.8444,C,A7
RRN C,ASF_A_402 - Aire de Bizanet Nord,R,ASF,72404.19902,C,A61
RRN C,ASF_A_402 - Aire de Bizanet Sud,R,ASF,37112.82213,C,A61
RRN C,Aire d'Orleans-Saran,S,COFIROUTE,101229.5341,C,A10
RRN C,Aire d'Orleans-Gidy,S,COFIROUTE,84869.65748,C,A10
RRN C,Chaumont sur Tharonne,S,COFIROUTE,35325.36511,C,A71
RRN C,ASF_A_404 - Aire de Narbonne-Jonquières,R,ASF,16843.86237,C,A61
RRN C,ASF_A_405 - Aire de Pech Loubat,R,ASF,54857.94196,C,A61
RRN C,Curney,R,APRR,23595.55496,C,A6
RRN C,ASF_A_369 - Aire du Merle Sud,R,ASF,153319.6371,C,A54
RRN C,ASF_A_368 - Aire du Merle Nord,R,ASF,31259.50723,C,A54
RRN C,Bourg Jasseron,S,APRR,84238.44233,C,A40
RRN C,Bourg Teyssonge,S,APRR,79210.56962,C,A40
RRN C,Certines,R,APRR,57596.01449,C,A40
RRN C,Chantelle en Bourbonnais,R,APRR,28045.06297,C,A71
RRN C,Beaulencourt,R,SANEF,2318.59944,C,A1
RRN C,Angeot,R,APRR,22390.5827,C,A36
RRN C,Dambenois,R,APRR,11000.68954,C,A36
RRN C,Dole Romange,S,APRR,65982.41776,C,A36
RRN C,Bois des Potets,R,APRR,44058.4883,C,A36
RRN C,ASF_A_357 - Aire de Ledenon Sud,R,ASF,14828.81624,C,A9
RRN C,ASF_A_391 - Aire de Tricastin,R,ASF,9640.94752,C,A7
RRN C,Beny,R,APRR,25725.94616,C,A39
RRN C,ASF_A_370 - Aire de Noves,R,ASF,13217.1293,C,A7
RRN C,BEAUSOLEIL - Riviera française,S,ESCOTA,15852.16757,C,A8
RRN C,AMBRUSSUM NORD,S,ASF,120721.2329,C,A9
RRN C,AMBRUSSUM SUD,S,ASF,76866.99294,C,A9
RRN C,Chatiere,R,COFIROUTE,27128.12185,C,A10
RRN C,Brueres,R,COFIROUTE,27474.24984,C,A10
RRN C,Eywiller,R,SANEF,5703.30229,C,A4
RRN C,Berg,R,SANEF,7113.35911,C,A4
RRN C,ASF_A_471 - Aire de Sainte-Eanne Nord,R,ASF,26784.78796,C,A10
RRN C,ASF_A_472 - Aire de Sainte-Eanne Sud,R,ASF,32049.79779,C,A10
RRN C,Boutroux,R,COFIROUTE,42591.64567,C,A10
RRN C,Bois de Bailly,R,COFIROUTE,52086.9719,C,A71
RRN C,Bois du Telegraphe,R,COFIROUTE,39911.27483,C,A71
RRN C,ASF_A_394 - Aire de Castelnaudary,R,ASF,55005.80446,C,A61
RRN C,Brumath Est,S,SANEF,56018.67582,C,A4
RRN C,CHAVAGNES-EN-PAILLERS,S,ASF,77689.5269,C,A83
RRN C,Aire de Feuillère,R,SANEF,12492.48465,C,A1
RRN C,Gite aux Loups,R,APRR,48675.18439,C,A71
RRN C,Bois des Dames,R,APRR,37179.26127,C,A71
RRN C,Bourges-Marmagne,S,COFIROUTE,32817.86939,C,A71
RRN C,Bourges-Ste Thorette,S,COFIROUTE,33336.34194,C,A71
RRN C,Epone Sud,R,SAPN,12264.1045,C,A13
RRN C,Brusolle,R,COFIROUTE,11768.42073,C,A10
RRN C,Fougeres,R,COFIROUTE,8551.42483,C,A10
RRN C,COMMUNAY NORD,S,ASF,100083.0713,C,A46
RRN C,Aire de Lunel,S,ASF,49378.78164,C,A9
RRN C,Champ l'Epee,R,SANEF,16552.52851,C,A26
RRN C,Champ Roland,S,SANEF,47574.84398,C,A26
RRN C,Changis-sur-Marne,S,SANEF,34992.72551,C,A4
RRN C,ASF_A_495 - Pirmil Ouest,R,ASF,58659.51114,C,A11
RRN C,ASF_A_496 - Pirmil Est,R,ASF,54572.44243,C,A11
RRN C,ASF_A_470 - Coulombiers Sud,R,ASF,52199.32048,C,A10
