,p_cum,id_station_itinerance,p_max,node_id,core,parc_nature,parc_id
1764,1200.0,FRTSLP1755,150.0,4691,True,echangeur,parc 1890
1765,382.0,FREVZPBDD4104BBAEF41C6B9247894FCCD6,180.0,4692,False,echangeur,parc 1443
1766,672.0,FRPD1PCHAREI,200.0,4693,False,echangeur,parc 2129
1767,572.0,FRPD1PSCISCM,100.0,4697,False,echangeur,parc 1356
1768,756.0,FRPD1PCORCOL,80.0,4702,False,rond-point,parc 3204
1769,672.0,FRPD1PJARGRT,200.0,4705,False,rond-point,parc 3186
1770,1102.0,FREVZP74597FDF276F42B9863B3C487E610,180.0,4707,False,rond-point,parc 3483
1771,3000.0,FRTSLP30248,250.0,4709,False,rond-point,parc 3321
1772,132.0,FRPD1PITMSML,60.0,4711,False,echangeur,parc 1345
1773,132.0,FRPD1PWELHES,60.0,4713,True,echangeur,parc 1871
1774,5000.0,FRTSLP34050,250.0,4714,True,echangeur,parc 1765
1775,900.0,FRTSLP1738,150.0,4715,False,echangeur,parc 2286
1776,922.0,FRPD1PCORAUX,100.0,4717,True,echangeur,parc 1886
1777,350.0,FRPD1PNETMRS,100.0,4720,False,rond-point,parc 3500
1778,72.0,FREVZPA368559DDC7C4ACABE0E04A2C9BD8,50.0,4722,False,rond-point,parc 3296
1779,3000.0,FRTSLP59510,250.0,4726,False,echangeur,parc 2418
1780,262.0,FREVZPD6B4800B0E724DAD9F7F38417FDCE,120.0,4728,False,rond-point,parc 3182
1781,1542.0,FRPD1PFRYVEN,150.0,4729,True,echangeur,parc 2408
1782,322.0,FRPD1PITMEVR,100.0,4730,False,echangeur,parc 2463
1783,632.0,FRPD1PCURLGU,200.0,4732,False,echangeur,parc 2964
1784,294.0,FRPD1PCOHEPN,100.0,4734,True,echangeur,parc 2064
1785,3000.0,FRTSLP29777,250.0,4736,False,echangeur,parc 2194
1786,494.0,FRPD1PKFCBVA,200.0,4740,False,echangeur,parc 2301
1787,954.0,FRPD1PDRTAUR,180.0,4746,True,echangeur,parc 1878
1788,366.0,FRPD1PIMCVER,50.0,4747,False,echangeur,parc 2402
1789,172.0,FRPD1PSGLLDS,100.0,4750,False,echangeur,parc 1358
1790,672.0,FRPD1PMBRSVN,200.0,4752,True,echangeur,parc 2804
1791,2000.0,FRTSLP29581,250.0,4754,False,echangeur,parc 2029
1792,1000.0,FRTSLP1727,125.0,4756,False,echangeur,parc 2286
1793,1022.0,FRPD1PCORMDL,150.0,4759,True,echangeur,parc 2153
1794,936.0,FRPD1PCORVSM,100.0,4760,False,echangeur,parc 2207
1795,822.0,FRPD1PAUCVIL,100.0,4761,False,echangeur,parc 2220
1796,600.0,FRTSLP1733,150.0,4763,True,echangeur,parc 1595
1797,672.0,FRPD1PCHATRG,200.0,4769,True,echangeur,parc 2799
1798,3000.0,FRTSLP33154,250.0,4772,False,echangeur,parc 1837
1799,1102.0,FREVZPCFF29BC5AB274AB5860B834124E87,180.0,4774,True,echangeur,parc 1943
1800,632.0,FRPD1PCRFBRD,200.0,4777,False,echangeur,parc 1499
1801,872.0,FRPD1PACTMRM,160.0,4779,False,rond-point,parc 3256
1802,742.0,FREVZP6F29C3E0057540639FFD6FB19BC5B,180.0,4780,False,echangeur,parc 2756
1803,632.0,FRPD1PHOLPAR,200.0,4781,False,echangeur,parc 2624
1804,122.0,FRPD1PPDMTLS,50.0,4782,False,echangeur,parc 1392
1805,512.0,FRPD1PACTPLR,120.0,4787,False,echangeur,parc 1996
1806,572.0,FRPD1PACTNCB,100.0,4790,False,echangeur,parc 2202
1807,672.0,FRPD1PMRFORG,200.0,4791,True,echangeur,parc 2893
1808,572.17025,FRPD1PIBSSHB,100.0,4793,True,rond-point,parc 3197
1809,2000.0,FRTSLP1722,250.0,4798,True,echangeur,parc 2630
1810,947.0,FRPD1PBOULIM,187.5,4803,False,echangeur,parc 2739
1811,672.0,FRPD1PORCEGR,200.0,4804,False,echangeur,parc 1543
1812,672.0,FRPD1PCHAECH,200.0,4805,False,echangeur,parc 2705
1813,4000.0,FRTSLP30252,250.0,4806,True,echangeur,parc 2981
1814,3882.0,FRPD1PELCMTB,300.0,4807,False,echangeur,parc 1442
1815,632.0,FRPD1PBBBLVS,200.0,4809,False,echangeur,parc 2021
1816,742.0,FREVZP3F0FDE7946D8464EA74043AB21FC4,180.0,4810,False,echangeur,parc 2344
