,id_station_itinerance,periode,occupe,hors_service,libre,nb_pdc,hs,inactif,sature,surcharge,actif,pleine_occ,state
252266,FRIOYP188,2025-08-31 22:10:00+00:00,0,0,6,6,False,True,False,False,False,False,2
252267,FRIOYP188,2025-08-31 22:15:00+00:00,0,0,6,6,False,True,False,False,False,False,2
252268,FRIOYP188,2025-08-31 22:20:00+00:00,0,0,6,6,False,True,False,False,False,False,2
252269,FRIOYP188,2025-08-31 22:25:00+00:00,1,0,5,6,False,False,False,False,True,False,3
252270,FRIOYP188,2025-08-31 22:30:00+00:00,1,0,5,6,False,False,False,False,True,False,3
252271,FRIOYP188,2025-08-31 22:35:00+00:00,1,0,5,6,False,False,False,False,True,False,3
252272,FRIOYP188,2025-08-31 22:40:00+00:00,1,0,5,6,False,False,False,False,True,False,3
252273,FRIOYP188,2025-08-31 22:45:00+00:00,1,0,5,6,False,False,False,False,True,False,3
252274,FRIOYP188,2025-08-31 22:50:00+00:00,2,0,4,6,False,False,False,False,True,False,3
252275,FRIOYP188,2025-08-31 22:55:00+00:00,2,0,4,6,False,False,False,False,True,False,3
252276,FRIOYP188,2025-08-31 23:00:00+00:00,2,0,4,6,False,False,False,False,True,False,3
252277,FRIOYP188,2025-08-31 23:05:00+00:00,2,0,4,6,False,False,False,False,True,False,3
252278,FRIOYP188,2025-08-31 23:10:00+00:00,1,0,5,6,False,False,False,False,True,False,3
252279,FRIOYP188,2025-08-31 23:15:00+00:00,1,0,5,6,False,False,False,False,True,False,3
252280,FRIOYP188,2025-08-31 23:20:00+00:00,0,0,6,6,False,True,False,False,False,False,2
252281,FRIOYP188,2025-08-31 23:25:00+00:00,0,0,6,6,False,True,False,False,False,False,2
252282,FRIOYP188,2025-08-31 23:30:00+00:00,0,0,6,6,False,True,False,False,False,False,2
252283,FRIOYP188,2025-08-31 23:35:00+00:00,0,0,6,6,False,True,False,False,False,False,2
252284,FRIOYP188,2025-08-31 23:40:00+00:00,0,0,6,6,False,True,False,False,False,False,2
252285,FRIOYP188,2025-08-31 23:45:00+00:00,0,0,6,6,False,True,False,False,False,False,2
252286,FRIOYP188,2025-08-31 23:50:00+00:00,0,0,6,6,False,True,False,False,False,False,2
252287,FRIOYP188,2025-08-31 23:55:00+00:00,0,0,6,6,False,True,False,False,False,False,2
