idx,coords,col_2,type,nom,dict,gestionnaire,sens,double
4623,"[48.8366, 2.54735]","[0, 1]",EC,Noisy La Grand Ouest,"{'numero': '8', 'roadname': 'A4'}",,,
4624,"[48.8366, 2.54735]","[0, 1]",EC,Noisy Le Gand Ouest,"{'numero': '8', 'roadname': 'A4'}",,,
4625,"[48.9136, 2.15962]","[-0.9961949999999999, 0.0871557]",BA,Barrière de Montesson,{'roadname': 'A14'},,,
4626,"[49.0524, 2.19657]","[0, 1]",EC,Méry-sur-Oise,{'roadname': 'N184'},,,
4627,"[49.0519, 2.1821]","[0, 1]",BI,Jonction A115/N184,{'roadname': 'N184'},,,
4628,"[49.0511, 2.14933]","[0, 1]",EC,Méry-sur-Oise ZA,{'roadname': 'N184'},,,
4629,"[49.0487, 2.13519]","[0, 1]",EC,Le Vert Galant,{'roadname': 'N184'},,,
4630,"[49.0444, 2.1296]","[0, 1]",EC,Saint-Ouen L'Aumône Maubuisson,{'roadname': 'N184'},,,
4631,"[49.0465, 2.43933]","[0, 1]",EC,Fontenay en Parisis,{'roadname': 'N104'},,,
4632,"[49.0465, 2.43933]","[0, 1]",EC,Fontenay en Parisis,{'roadname': 'N104'},,,
4633,"[49.0474, 2.45992]","[0, 1]",EC,Marly-la-Ville,"{'numero': '96', 'roadname': 'N104'}",,,
4634,"[49.0474, 2.45992]","[0, 1]",EC,Marly-la-Ville,"{'numero': '96', 'roadname': 'N104'}",,,
4635,"[49.0411, 2.5428800000000003]","[-0.186524, -0.98245]",AR,Chennevières,{'roadname': 'A1'},,,
4636,"[49.0287, 2.53799]","[0, 1]",EC,Roissy,"{'numero': '6', 'roadname': 'A1'}",,,
4637,"[49.0077, 2.52736]","[0, 1]",LI,Début de concession A1,{'roadname': 'A1'},,,
4638,"[49.0283, 2.52434]","[0, 1]",BI,Jonction A1/N104,{'roadname': 'N104'},,,
4639,"[49.0295, 2.49968]","[0, 1]",EC,Sarcelles,"{'numero': '98', 'roadname': 'N104'}",,,
4640,"[49.0295, 2.49968]","[0, 1]",EC,Sarcelles,"{'numero': '98', 'roadname': 'N104'}",,,
4641,"[48.6012, 2.6016]","[-0.649448, 0.7604059999999999]",AS,Plessis Picard-Oudry,{'roadname': 'A5a'},,,
4642,"[48.5887, 2.65619]","[0.939693, -0.34202000000000005]",BA,Barrière des Eprunes,{'roadname': 'A5'},,,
4643,"[48.5946, 2.63544]","[0, 1]",BI,Jonction A5/A105,{'roadname': 'A5a'},,,
4644,"[48.5991, 2.6055900000000003]","[0, 1]",EC,Plessis Picard,"{'numero': '13', 'roadname': 'A5a'}",,,
4645,"[48.5747, 2.63927]","[0, 1]",EC,Vert Saint Denis,"{'numero': '14', 'roadname': 'A105'}",,,
4646,"[48.5712, 2.6408300000000002]","[0, 1]",LI,Début concession A105,{'roadname': 'A105'},,,
4647,"[48.5712, 2.6408300000000002]","[0, 1]",LI,Fin concession A105,{'roadname': 'A105'},,,
4648,"[48.5883, 2.6570400000000003]","[0.939693, -0.34202000000000005]",AR,Les Eprunes,{'roadname': 'A5'},,,
4649,"[48.5896, 2.65504]","[-0.939693, 0.34202000000000005]",AR,Les Eprunes,{'roadname': 'A5'},,,
4650,"[48.5394, 2.79548]","[0, 1]",EC,Châtillon la Borde,"{'numero': '16', 'roadname': 'A5'}",,,
4651,"[48.5852, 2.72682]","[0, 1]",EC,Saint Germain Laxis,"{'numero': '15', 'roadname': 'A5'}",,,
4652,"[48.6105, 2.6326400000000003]","[-0.0774151, 0.996999]",AS,La Mare la Roche,{'roadname': 'A105'},,,
4653,"[48.6167, 2.63105]","[0.10713199999999999, -0.9942449999999999]",AS,Parking sécurisé PL Park+,{'roadname': 'A105'},,,
4654,"[48.6573, 2.613]","[0, 1]",BI,Jonction A105/RN104,{'roadname': 'A105'},,,
4655,"[48.6078, 2.58097]","[0, 1]",EC,Arvigny,"{'numero': '12', 'roadname': 'A5a'}",,,
4656,"[48.6463, 2.62275]","[0, 1]",EC,Evry Grégy,"{'numero': '11', 'roadname': 'A105'}",,,
4657,"[48.6317, 2.62887]","[0, 1]",EC,Moissy Cramayel,"{'numero': '12', 'roadname': 'A105'}",,,
4658,"[48.6137, 2.6318799999999998]","[0, 1]",EC,Réau,"{'numero': '13', 'roadname': 'A105'}",,,
4659,"[48.832300000000004, 2.66613]","[0, 1]",BI,Jonction A4/A104,{'roadname': 'A4'},,,
4660,"[48.8299, 2.6190800000000003]","[0, 1]",BI,Jonction A4/N104,{'roadname': 'A4'},,,
4661,"[48.8347, 2.5831]","[0, 1]",EC,Champs-sur-Marne,"{'numero': '10', 'roadname': 'A4'}",,,
4662,"[48.8314, 2.6428000000000003]","[0, 1]",EC,Croissy Beaubourg,"{'numero': '10.1', 'roadname': 'A4'}",,,
4663,"[48.8295, 2.74381]","[-0.988362, -0.15212299999999998]",AS,Bussy-Saint-Georges Nord,{'roadname': 'A4'},,,
4664,"[48.8295, 2.74381]","[0.992224, 0.124467]",AS,Ferrières Sud,{'roadname': 'A4'},,,
4665,"[48.8299, 2.7062]","[0, 1]",EC,Ferrières,"{'numero': '12', 'roadname': 'A4'}",,,
4666,"[48.8299, 2.7062]","[0, 1]",EC,Ferrières-en-Brie,"{'numero': '12', 'roadname': 'A4'}",,,
4667,"[48.8335, 2.7956700000000003]","[0, 1]",EC,Serris,"{'numero': '13', 'roadname': 'A4'}",,,
4668,"[48.8312, 2.76581]","[0, 1]",EC,Val d'Europe,"{'numero': '12.1', 'roadname': 'A4'}",,,
4669,"[48.8537, 2.83857]","[0.469472, 0.882948]",BA,Barrière de Coutevroult,{'roadname': 'A4'},,,
4670,"[48.885, 2.89351]","[0, 1]",BI,Jonction A4/A140,{'roadname': 'A4'},,,
4671,"[48.8397, 2.8196]","[0, 1]",EC,Bailly-Romainvilliers,"{'numero': '14', 'roadname': 'A4'}",,,
4672,"[48.8628, 2.84681]","[0, 1]",EC,Coutevroult,"{'numero': '15', 'roadname': 'A4'}",,,
4673,"[48.8628, 2.8468]","[0, 1]",EC,Coutevroult,"{'numero': '15', 'roadname': 'A4'}",,,
4674,"[48.8734, 2.86747]","[0, 1]",EC,Crécy,"{'numero': '16', 'roadname': 'A4'}",,,
4675,"[48.8734, 2.86747]","[0, 1]",EC,Crécy,"{'numero': '16', 'roadname': 'A4'}",,,
4676,"[48.9067, 2.88571]","[0, 1]",EC,Quincy-Voisins,"{'numero': '1', 'roadname': 'A140'}",,,
4677,"[48.9081, 2.94347]","[-0.900926, -0.43397399999999997]",AR,Prévilliers,{'roadname': 'A4'},,,
4678,"[48.9104, 2.95442]","[0.900926, 0.43397399999999997]",AR,Vaucourtois,{'roadname': 'A4'},,,
4679,"[48.964, 3.05408]","[-0.504226, -0.863572]",AS,Changis-sur-Marne,{'roadname': 'A4'},,,
4680,"[48.9712, 3.0636200000000002]","[0.504226, 0.863572]",AS,Ussy-sur-Marne,{'roadname': 'A4'},,,
4681,"[48.9515, 3.04275]","[0, 1]",EC,Saint-Jean-les-2-Jumeaux,"{'numero': '18', 'roadname': 'A4'}",,,
4682,"[49.0098, 3.14552]","[0.7071069999999999, 0.7071069999999999]",BA,Barrière de Montreuil,{'roadname': 'A4'},,,
4683,"[49.0124, 3.15048]","[0, 1]",EC,Montreuil-aux-Lions,"{'numero': '19', 'roadname': 'A4'}",,,
