p_max,p_cum,id_station,operateur,amenageur,longitude,latitude
300.0,600.0,FRVIAP2012206201,ENGIE Vianeo,ENGIE Vianeo,5.123649,43.62839
200.0,200.0,FRELCPXETK,Electra,Electra,6.691718,45.916657
17.0,17.0,FRS37P221314,Modulo,Modulo Energies,0.814847,47.357802
17.0,17.0,FRS37P221298,Modulo,Modulo Energies,0.995564,47.319767
22.0,22.0,FRELCP5BWR,Electra,Electra,6.38197,45.661785
18.0,36.0,FRS77E77303001,Bouygues E&S,Ecocharge77,3.427434,48.851772
300.0,600.0,FRVIAP1234570387,ENGIE Vianeo,ENGIE Vianeo,5.977641,44.13356
150.0,300.0,FRALLPGO900402,Allego,Allego,4.226919,45.72176
150.0,150.0,FRELCPKNTY,Electra,Electra,4.73269,45.997284
150.0,502.3,FRETIP83061A,E-Totem,E-Totem,6.729143,43.425194
160.0,712.0,FRPD1PHF1SPR,Power Dot France,Power Dot France,4.912867,45.70533
150.0,150.0,FRELCPNM9B,Electra,Electra,2.238392,48.77325
17.0,17.0,FRS41P4932,Modulo,Modulo Energies,0.861458,47.751579
150.0,150.0,FRELCP8U6Z,Electra,Electra,4.789579,45.584965
22.0,44.0,FRALLPGO002033,Allego,Allego,1.277467,45.836647
200.0,200.0,FRELCPS789,Electra,Electra,3.839353,43.61086
250.0,8750.0,FRTSLP28396,Tesla,Tesla,4.898838,46.576511
300.0,600.0,FRVIAP1234603353,ENGIE Vianeo,ENGIE Vianeo,1.808766,43.353167
300.0,300.0,FRELCPKVE5,Electra,Electra,1.953693,48.830259
300.0,600.0,FRVIAP2012500102,ENGIE Vianeo,ENGIE Vianeo,-0.207353,48.90593
300.0,600.0,FRVIAP1000118092,ENGIE Vianeo,ENGIE Vianeo,4.838476,46.961627
200.0,592.0,FRPD1PHOTULS,Power Dot France,Power Dot France,2.198518,48.679382
150.0,502.3,FRETIP01354A,E-Totem,E-Totem,6.026596,46.253725
250.0,3000.0,FRTSLP11605,Tesla,Tesla,5.976853,45.524705
300.0,300.0,FRELCPDAJC,Electra,Electra,-2.760893,48.53386
300.0,600.0,FRVIAP1000118074,ENGIE Vianeo,ENGIE Vianeo,4.959139,48.057405
200.0,200.0,FRELCPVUHE,Electra,Electra,2.475527,48.878167
300.0,300.0,FRELCPBJ9U,Electra,Electra,-1.592249,49.633566
160.0,872.0,FRPD1PMATARR,Power Dot France,Power Dot France,2.788903,50.277402
150.0,502.3,FRETIP31390A,E-Totem,E-Totem,0.56405,43.088294
17.0,17.0,FRS37P215634,Modulo,Modulo Energies,0.96446,47.183917
17.0,17.0,FRS37P219879,Modulo,Modulo Energies,0.413926,46.948278
120.0,524.0,FRPD1PITMLCL,Power Dot France,Power Dot France,-1.957678,47.362095
300.0,300.0,FRELCPYYHH,Electra,Electra,2.989333,45.957027
300.0,300.0,FRELCP9QDU,Electra,Electra,5.757481,45.165201
22.0,44.0,FRALLPGO999022,Allego,Allego,4.777212,45.789023
22.0,44.0,FRALLPGO999060,Allego,Allego,2.033034,48.910039
320.0,480.0,FRIENP009601,NW IECharge,NW IECharge,3.12869,43.293939
22.0,44.0,FRALLPGO900566,Allego,Allego,-0.480687,46.317963
400.0,400.0,FRELCPE7JC,Electra,Electra,1.853181,47.90018
17.0,17.0,FRS41P4728,Modulo,Modulo Energies,1.848995,47.5426
