p_max,p_cum,id_station,operateur,amenageur,longitude,latitude
250.0,4000.0,FRTSLP29713,Tesla,Tesla,5.796896,43.818865
320.0,480.0,FRIENP003601,NW IECharge,NW IECharge,0.389028,49.017264
22.0,44.0,FRTCBP01863,TotalEnergies Marketing France,TotalEnergies Charging Services,5.397278,43.299067
50.0,122.0,FRPD1PVDTPSA,Power Dot France,Power Dot France,6.693174,43.452293
150.0,600.0,FRIZFPFAST398,IZIVIA,IZIVIA FAST,1.073122,43.603587
150.0,522.0,FRMGPP91179A,SPIE CityNetworks,Métropolis,2.48205,48.564171
25.0,72.0,FRESEPS42218BD,E-Totem,SEMOB,4.388649,45.432013
320.0,480.0,FRIENP007102,NW IECharge,NW IECharge,6.1474825,48.3030708
300.0,2422.0,FRELCPGLICC,Electra,Electra,2.378123,49.866792
200.0,792.0,FRPD1PACTLMN,Power Dot France,Power Dot France,4.770814,45.819678
150.0,600.0,FRDRVPGMNS50094286766830,DRIVECO,DRIVECO,5.358696,45.961545
100.0,572.0,FRPD1PMATJAR,Power Dot France,Power Dot France,5.863113,49.166006
22.0,44.0,FRALLPGO900581,Allego,Allego,4.4291853,43.9900974
22.0,44.0,FRALLPGO900746,Allego,Allego,2.914478,42.7743596
320.0,480.0,FRIENP006001,NW IECharge,NW IECharge,-2.2150694,47.6492611
150.0,300.0,FRIZFPFAST38,IZIVIA,IZIVIA FAST,7.160492,48.044253
320.0,1303.04,FRMFCPANCENIS,Mobilize Fast Charge Network FRANCE,Mobilize Fast Charge Network FRANCE,-1.18787,47.372343
300.0,3250.0,FRHPCPNF080138TOTEM,TotalEnergies Marketing France,TotalEnergies Marketing France,0.254399,48.056344
100.0,372.0,FRPD1PSQEMTB,Power Dot France,Power Dot France,1.373375,44.038307
300.0,600.0,FRALLPGO800033,Allego,Allego,1.5491152,43.4857878
22.0,44.0,FRGYMPEVBP2227103,GEEVE,GREENYELLOW EMOBILITY,-1.8271026,48.0817131
100.0,772.0,FRPD1PBOUEPN,Power Dot France,Power Dot France,6.476966,48.201706
22.0,48.0,FRV75P900703,TotalEnergies Marketing France,TotalEnergies Marketing France,2.31368,48.852665
320.0,480.0,FRIENP000702,NW IECharge,NW IECharge,-2.0556535,47.2038483
150.0,300.0,FRIZFPFAST539,IZIVIA,IZIVIA FAST,2.669218,50.009213
50.0,144.16,FRDRVPCRFMKT416001,DRIVECO,DRIVECO,2.027091,47.600294
150.0,300.0,FRALLPGO900420,Allego,Allego,-1.1811282,48.3469816
150.0,300.0,FRIZFPFAST48,IZIVIA,IZIVIA FAST,3.251031,50.184281
160.0,662.0,FRPD1PBRCLVR,Power Dot France,Power Dot France,1.80251,43.70658
300.0,600.0,FRALLPGO700222,Allego,Allego,5.350814,43.362277
100.0,272.0,FRPD1PITMLDV,Power Dot France,Power Dot France,-3.1199,47.759988
50.0,144.16,FRDRVPCRFMKT621401,DRIVECO,DRIVECO,2.02741,50.371534
50.0,122.0,FRPD1PSYUTRE,Power Dot France,Power Dot France,2.442342,43.203196
50.0,122.0,FREVZP5A15F5DA8C904C948CB8C2B7F1E06,EVzen,SMEG DEVELOPPEMENT,3.310656,47.725594
7.0,41.0,FRV75PPX1806,TotalEnergies Marketing France,TotalEnergies Marketing France,2.3385,48.8913
150.0,944.0,FRELCPNICIMA,Electra,Electra,7.270699,43.697682
24.0,46.0,FRSE1PSE59DAFA,STATIONS-E,STATIONS-E,3.388997,50.334228
7.0,35.0,FRV75PPX0510,TotalEnergies Marketing France,TotalEnergies Marketing France,2.344429,48.849902
150.0,544.0,FRETIP81297A,E-Totem,E-TOTEM INFRADIV,2.083649,43.917161
22.0,44.0,FRALLPGO800755,Allego,Allego,3.1426462,45.7574483
22.0,44.0,FRALLPGO800730,Allego,Allego,3.5164865,50.3396823
200.0,632.0,FRPD1PHLFMTG,Power Dot France,Power Dot France,2.742603,48.003995
300.0,8844.0,FRELCPAAL45,Electra,Electra,4.876109,45.019158
22.0,44.0,FRALLPGO900571,Allego,Allego,3.1072799,46.9973883
7.4,44.4,FRMGPP92063O,SPIE CityNetworks,Métropolis,2.202896,48.871498
150.0,300.0,FRGYMPEVBDC1102200001,GEEVE,GREENYELLOW EMOBILITY,-1.8271026,48.0817131
180.0,742.0,FRETIP59459A,E-Totem,E-TOTEM INFRADIV 2,3.478283,50.382153
7.0,34.0,FRV75PPX2009,TotalEnergies Marketing France,TotalEnergies Marketing France,2.4092,48.8731
400.0,844.0,FRELCPPESHI,Electra,Electra,-0.645267,44.788733
350.0,1543.0,FRIOYP385,Ionity,Ionity,4.700191,43.999633
22.0,90.3,FRMGPP93079A,SPIE CityNetworks,Métropolis,2.3438,48.960564
300.0,5886.0,FRVIAP104101,ENGIE Vianeo,ENGIE Vianeo,1.360907,43.813026
300.0,1222.0,FRELCPGRAJP,Electra,Electra,5.086951,43.623726
25.0,47.0,FRSE1PSE77MXTA,STATIONS-E,STATIONS-E,2.882846,48.964359
400.0,1600.0,FRFASP51042,Fastned France,Fastned France,6.9324,48.291063
7.0,112.0,FRTCBP05220,TotalEnergies Charging Services,TotalEnergies Charging Services,2.354556,48.764747
22.0,44.0,FRALLPGO999091,Allego,Allego,2.581977,48.5012093
22.0,44.0,FRESEPS42207AE,E-Totem,SEMOB,4.505162,45.467122
25.0,72.0,FRS63P63069B,SPIE CityNetworks,TERRITOIRE D'ENERGIE DU PUY-DE-DOME (TE 63),3.189445,45.723408
100.0,322.0,FRPD1PSYUPXX,Power Dot France,Power Dot France,6.572899,48.109398
240.0,1782.0,FRPD1PASCBGJ,Power Dot France,Power Dot France,5.247061,45.59034
7.0,35.0,FRV75PPX1631,TotalEnergies Marketing France,TotalEnergies Marketing France,2.297645,48.869893
100.0,750.0,FRPD1PCHAVDB02,Power Dot France,Power Dot France,5.948364,49.254202
150.0,900.0,FRTSLP1749,Tesla,Tesla,4.977541,45.69848
150.0,300.0,FRIZFPFAST492,IZIVIA,IZIVIA FAST,3.700556,49.307832
25.0,47.0,FRSE1PSE57ABCA,STATIONS-E,STATIONS-E,5.954677,49.46777
7.0,35.0,FRV75PPX2018,TotalEnergies Marketing France,TotalEnergies Marketing France,2.392972,48.865684
7.0,35.0,FRV75PPX1111,TotalEnergies Marketing France,TotalEnergies Marketing France,2.383037,48.852573
22.0,44.0,FRALLPGO900523,Allego,Allego,4.0256516,48.3057856
320.0,480.0,FRIENP028501,NW IECharge,NW IECharge,4.003352,46.050998
47.0,94.0,FRWA2PDE4040B1GPCC00011N,WAAT - PROUDREED,SHEET ANCHOR DELTA,6.616548,48.0023539
150.0,150.0,FRHPCPNF080150,TotalEnergies Marketing France,TotalEnergies Marketing France,0.169097,48.197319
180.0,360.0,FRIZFPFAST33,IZIVIA,IZIVIA FAST,1.221104,43.310656
150.0,300.0,FRE04POAZS126,IZIVIA,IZIVIA EXPRESS,3.14912,45.819579
25.0,72.0,FRS63P63113A,SPIE CityNetworks,TERRITOIRE D'ENERGIE DU PUY-DE-DOME (TE 63),3.088685,45.760471
320.0,480.0,FRIENP006302,NW IECharge,NW IECharge,3.110091,46.797692
100.0,376.0,FRPD1PITMCPV02,Power Dot France,Power Dot France,0.354791,43.112049
150.0,300.0,FRIZFPFAST64,IZIVIA,IZIVIA FAST,1.594708,50.403897
22.0,44.0,FRTCBP01737,TotalEnergies Marketing France,TotalEnergies Charging Services,5.61119,43.176523
22.0,44.0,FRALLPGO900641,Allego,Allego,2.073442,49.4294875
47.0,47.0,FRWA2PDE4040B1GPCC000864,WAAT - PROUDREED,RINGMERIT ALPHA,4.0868102,49.2308268
47.0,94.0,FRWA2PDE4040B1GPCC00081X,WAAT - PROUDREED,QUARTZ PROPERTIES,0.3389325,46.6118045
