idx,coords,col_2,type,nom,dict,gestionnaire,sens,double
4374,"[47.664946, 1.92542]","[0.51444, -0.8575269999999999]",AS,A71 - CHAUMONT SUR THARONNE,{'roadname': 'A71'},COFIROUTE,Orléans centre-Bourges,
4375,"[47.663576, 1.929668]","[-0.371368, 0.9284859999999999]",AS,A71 - LA FERTE ST AUBIN,{'roadname': 'A71'},COFIROUTE,Bourges-Orléans centre,
4499,"[47.976154, 1.860051]","[0.0871557, 0.9961949999999999]",AS,A10 - ORLEANS GIDY,{'roadname': 'A10'},COFIROUTE,Poitiers-Paris,
4500,"[47.978122, 1.857926]","[-0.0871557, -0.9961949999999999]",AS,A10 - ORLEANS SARAN,{'roadname': 'A10'},COFIROUTE,Paris-Poitiers,
4510,"[48.084273, 2.471512]","[0, 1]",AS,A19 - LOIRET,{ 'roadname': 'A19'},COFIROUTE,Courtenay-Orléans,D
4513,"[48.274658, 1.855182]","[-0.0909802, -0.995853]",AS,A10 - PLAINES DE BEAUCE,{'roadname': 'A10'},COFIROUTE,Paris-Poitiers,
4514,"[48.270879, 1.855969]","[0.1554, 0.987852]",AS,A10 - VAL NEUVY,{'roadname': 'A10'},COFIROUTE,Poitiers-Paris,
3042,"[43.192656, 5.667666]","[1, 6.12323e-17]",AS,A50 - LE LIOUQUET,{'roadname': 'A50'},ESCOTA,MARSEILLE-TOULON,
3043,"[43.193665, 5.670745]","[-1, -1.83697e-16]",AS,A50 - LES PLAINES BARONNES,{'roadname': 'A50'},ESCOTA,TOULON-MARSEILLE,
3061,"[43.149284, 6.033474]","[-0.518176, -0.855274]",AS,A57 - LA CHABERTE,{'roadname': 'A57'},ESCOTA,LE CANNET -TOULON ,
3064,"[43.142548, 6.010418]","[0.965926, 0.25881899999999997]",AS,A57 - LA BIGUE,{'roadname': 'A57'},ESCOTA,TOULON -LE CANNET ,
3076,"[43.400944, 5.577692]","[-0.25881899999999997, 0.965926]",AS,A52 - BAUME DE MARRON,{'roadname': 'A52'},ESCOTA,AUBAGNE-CHATEAUNEUF,
3077,"[43.400944, 5.577692]","[0.25881899999999997, -0.965926]",AS,A52 - PEYPIN,{'roadname': 'A52'},ESCOTA,CHATEAUNEUF-AUBAGNE,
3085,"[43.469167, 5.655588]","[0.984564, -0.17502299999999998]",AS,A8 - L'ARC,{'roadname': 'A8'},ESCOTA,COUDOUX-MENTON,
3086,"[43.471515, 5.643248]","[-0.984564, 0.17502299999999998]",AS,A8 - DE ROUSSET,{'roadname': 'A8'},ESCOTA,MENTON-COUDOUX,
3103,"[43.632692, 5.493507]","[0.0481525, -0.9988400000000001]",AS,A51 - MEYRARGUES-FONTBELLE,{'roadname': 'A51'},ESCOTA,SISTERON-MARSEILLE,
3113,"[43.423455, 5.992477]","[-0.9648789999999999, 0.262694]",AS,A8 - CAMBARETTE NORD,{'roadname': 'A8'},ESCOTA,MENTON-COUDOUX,
3114,"[43.422309, 5.991314]","[0.9730989999999999, -0.23038899999999998]",AS,A8 - LES TERRASSES DE PROVENCE,{'roadname': 'A8'},ESCOTA,COUDOUX-MENTON,
3128,"[43.842246, 5.850284]","[0.253927, 0.9672229999999999]",AS,A51 - MANOSQUE,{'roadname': 'A51'},ESCOTA,MARSEILLE-SISTERON,
3136,"[44.133661, 5.977621]","[-0.10557000000000001, 0.994412]",AS,A51 - AUBIGNOSC OUEST,{'roadname': 'A51'},ESCOTA,SISTERON-MARSEILLE,
3137,"[44.133652, 5.980165]","[-0.10557000000000001, 0.994412]",AS,A51 - AUBIGNOSC EST,{'roadname': 'A51'},ESCOTA,MARSEILLE-SISTERON,
5440,"[43.415672, 6.452156]","[-0.820252, -0.5720029999999999]",AS,A8 - VIDAUBAN NORD,{'roadname': 'A8'},ESCOTA,MENTON-COUDOUX,
5441,"[43.414215, 6.453261]","[0.927184, 0.37460699999999997]",AS,A8 - VIDAUBAN SUD,{'roadname': 'A8'},ESCOTA,COUDOUX-MENTON,
5444,"[43.467052, 6.670905]","[-0.7454759999999999, 0.666532]",AS,A8 - LE CANAVER,{'roadname': 'A8'},ESCOTA,MENTON-COUDOUX,
5448,"[43.542359, 6.786889]","[0.13969199999999998, 0.9901949999999999]",AS,A8 - L'ESTEREL,{'roadname': 'A8'},ESCOTA,COUDOUX-MENTON,
5453,"[43.591782, 7.036058]","[-0.716424, -0.697665]",AS,A8 - LES BREGUIERES NORD,{'roadname': 'A8'},ESCOTA,MENTON-COUDOUX,
5454,"[43.591874, 7.036112]","[0.72357, 0.690251]",AS,A8 - LES BREGUIERES SUD,{'roadname': 'A8'},ESCOTA,COUDOUX-MENTON,
5460,"[43.843187, 5.848340]","[-0.37945599999999996, -0.9252100000000001]",AS,A51 - VOLX,{'roadname': 'A51'},ESCOTA,SISTERON-MARSEILLE,
5483,"[43.754969, 7.398055]","[-0.9978929999999999, 0.0648806]",AS,A8 - LA SCOPERTA,{'roadname': 'A8'},ESCOTA,MENTON-COUDOUX,
5490,"[43.753244, 7.419685]","[0.9978929999999999, -0.0648806]",AS,A8 - BEAUSOLEIL,{'roadname': 'A8'},ESCOTA,COUDOUX-MENTON,
