id_station,p_max,p_cum,operateur,amenageur,longitude,latitude
FRS37P4DE6KO6L,17.0,34.0,Modulo,Modulo Energies,0.542855,47.246726
FRS37PHBLTDLI4,17.0,34.0,Modulo,Modulo Energies,0.844593,47.350406
FRS41PNHSSSAME,17.0,68.0,Modulo,Modulo Energies,1.335507,47.610383
FRS28PV6JGC2VF,17.0,34.0,Modulo,Modulo Energies,0.916358,48.627291
FRS77P77025001,22.8,45.6,Bouygues E&S,Ecocharge77,3.188327,48.398651
FRS55PJNPRYR3N,17.0,34.0,Modulo,Modulo Energies,5.518475,48.901643
FRLIBP181005520,22.0,44.0,Eoliberty,Eoliberty,1.92548,47.2552
FRS77P77102001,22.8,45.6,Bouygues E&S,Ecocharge77,2.62648,48.233624
FRS88PPGRG9M54,25.0,47.0,Modulo,Modulo Energies,6.86487,48.067212
FRS55PTHKEI1YJ,17.0,34.0,Modulo,Modulo Energies,5.354515,48.488338
FRFASP50606,300.0,1200.0,Fastned France,Fastned France,2.9287,48.42598
FRS37PDKAZGCSZ,17.0,34.0,Modulo,Modulo Energies,0.88746,46.841416
FRS41P7RLLZEBF,17.0,68.0,Modulo,Modulo Energies,1.508335,47.703524
FRS08PE0UJBJEQ,24.0,46.0,Modulo,Modulo Energies,4.738553,49.885189
FRS77P77089001,22.8,45.6,Bouygues E&S,Ecocharge77,2.971726,48.511906
FROZEP12229023410004,25.0,69.0,OZECAR,SAS OZECAR,8.783101,41.926708
FRS77P77475003,22.8,45.6,Bouygues E&S,Ecocharge77,2.949626,48.962367
FRFASP50836,300.0,2400.0,Fastned France,Fastned France,2.523729,49.854847
FRS41PTFSDKTFM,17.0,34.0,Modulo,Modulo Energies,1.612878,47.71724
FRLIBP681403935,22.0,44.0,Eoliberty,Eoliberty,7.134324,48.03935
FRN54P7VHLJFMO,22.0,44.0,Modulo,Modulo Energies,6.13388,48.6994
FRS37PMMWPDEFW,17.0,34.0,Modulo,Modulo Energies,0.168533,47.278571
FRS77P77433001,22.8,45.6,Bouygues E&S,Ecocharge77,3.048279,48.758305
FRS37P7QGOVLGW,17.0,34.0,Modulo,Modulo Energies,1.037211,47.585272
FRS28PK1WI1YHE,17.0,17.0,Modulo,Modulo Energies,1.87898,48.416215
FROZEP24354367,22.0,44.0,OZECAR,OZECAR,8.9175379,41.7168455
FRS77P77339001,22.8,45.6,Bouygues E&S,Ecocharge77,2.496094,48.373798
FROZEP26793057,22.0,44.0,OZECAR,OZECAR,8.7686241,42.5536909
FRS37PCFKEUFY2,17.0,34.0,Modulo,Modulo Energies,0.954043,47.431091
FRS08PMURJEOJJ,17.0,34.0,Modulo,Modulo Energies,4.369649,49.504894
FROZEP26793058,22.0,88.0,OZECAR,OZECAR,9.3964357,41.7723714
FRLIBP44522317,50.0,116.0,Eoliberty,Eoliberty,-1.229661,47.4317
FRS77P77534001,22.8,45.6,Bouygues E&S,Ecocharge77,2.773878,48.637527
FRS77P77482001,22.8,45.6,Bouygues E&S,Ecocharge77,2.92905,48.375946
FRLIBP31260282,22.0,44.0,Eoliberty,Eoliberty,0.934368,43.1282
FRS77P77253001,22.8,45.6,Bouygues E&S,Ecocharge77,2.694243,48.626202
FRS77P77288006,100.0,200.0,Bouygues E&S,Ecocharge77,2.657548,48.555317
FROZEP12228023430001,22.0,22.0,OZECAR,OZECAR,9.2845923,41.5952767
FRS88PYLM13QW6,25.0,47.0,Modulo,Modulo Energies,5.581239,48.317543
FRS37P1LO12B1G,17.0,34.0,Modulo,Modulo Energies,0.593695,47.404129
FRS41PNZXBP6XH,17.0,34.0,Modulo,Modulo Energies,1.848995,47.5426
FRS37P3LD5ZG1V,150.0,300.0,Modulo,Modulo Energies,0.983885,47.542586
FRS41P3804,17.0,17.0,Modulo,Modulo Energies,1.239974,47.671469
FRS37PHENJZO2F,17.0,34.0,Modulo,Modulo Energies,0.790964,47.502321
FRS28PRYARIQIW,17.0,17.0,Modulo,Modulo Energies,1.463518,48.450539
FROZEPT184IT11423001,180.0,360.0,OZECAR,SAS Ozecar,9.276947275,41.604621609
FRS77P77480001,22.8,45.6,Bouygues E&S,Ecocharge77,2.891339,48.44434
FRS55PVISEUCFX,17.0,34.0,Modulo,Modulo Energies,5.017258,48.637806
FRS51P2FNN6UCT,17.0,34.0,Modulo,Modulo Energies,4.025792,49.26998
FRS28PMTBGMDOG,17.0,17.0,Modulo,Modulo Energies,1.944203,48.347049
FROZEP26670300,22.0,22.0,OZECAR,OZECAR,8.9026946,41.6699528
FRS37PABHGHJSO,17.0,34.0,Modulo,Modulo Energies,0.789972,46.973452
FROZEPZPR281572,7.4,7.4,OZECAR,OZECAR,9.2915882,41.5868425
FRS37P221326,17.0,17.0,Modulo,Modulo Energies,1.060857,47.260997
FRS08PJF4V4WRQ,24.0,46.0,Modulo,Modulo Energies,4.707178,50.010736
FRS77P77397002,24.0,46.8,Bouygues E&S,Ecocharge77,3.214234,48.965053
FRS37PQSR4KPZD,17.0,34.0,Modulo,Modulo Energies,0.915994,47.322015
FRS77P77069001,24.0,92.39999999999999,Bouygues E&S,Ecocharge77,2.607938,48.465767
FRS28P4KUQMORL,17.0,17.0,Modulo,Modulo Energies,1.772468,48.461236
FRS77P77455001,22.8,45.6,Bouygues E&S,Ecocharge77,2.69905,48.652874
FRS28PJ0FMCK9H,17.0,17.0,Modulo,Modulo Energies,1.775175,48.463224
FRS41PUONGT6Z3,22.0,44.0,Modulo,Modulo Energies,1.416839,47.613725
FRS28PKDI8PT5E,17.0,17.0,Modulo,Modulo Energies,1.233912,47.997089
FRS77P77389002,22.8,45.6,Bouygues E&S,Ecocharge77,2.655785,48.517753
FRS77P77192001,24.0,46.8,Bouygues E&S,Ecocharge77,2.866713,48.706941
FRS37PKBOO7G5N,17.0,17.0,Modulo,Modulo Energies,0.541846,47.347274
FRS55POCZANWPV,17.0,34.0,Modulo,Modulo Energies,5.427367,49.071221
FRS37PY1XVEUKZ,17.0,34.0,Modulo,Modulo Energies,0.700934,47.47148
FRS77P77127001,24.0,46.8,Bouygues E&S,Ecocharge77,2.697092,48.668724
FRS77P77377001,22.8,45.6,Bouygues E&S,Ecocharge77,2.740637,48.714993
