,id_pdc_itinerance,point_de_charge_id
82,FRELCE387N,38320435-bcec-46bd-ae55-cd59e5ef1e01
83,FRELCE39HA,5b41cd91-9cc0-4b94-ba5b-b1d1a4b8ed57
84,FRELCE39NH,43a903dd-ae78-4e94-944e-18b956107c6b
85,FRELCE39XM,4b14b4ee-dfd0-43fb-b14c-8512cbb63af3
86,FRELCE3A5F,2b8b7760-3079-495a-ba5a-e337e0e05c8c
87,FRELCE3ADR,f61f196b-a096-45b7-93fb-5d54787bdc42
88,FRELCE3C7T,d996e2e8-2a36-4682-9805-78857b6b9459
89,FRELCE3CWL,97eecb3e-66c6-4289-9cbb-e9e080fab8e1
90,FRELCE3D9Y,ac65fd84-0293-4ea5-9516-1a21357a7449
91,FRELCE3DV4,214ad604-248c-4373-8c1b-d27455fcf05e
92,FRELCE3ES9,582a2acf-38f3-40bf-8408-5419637f3bda
93,FRELCE3F3U,a046985f-d52f-4eae-b5d6-7e23321612dd
94,FRELCE3FDH,c560ff3d-56f1-4a1e-bdc3-f4da5d4924c0
95,FRELCE3FG3,386f5963-a988-4934-a2c5-0e251fb0f8be
96,FRELCE3GVQ,c11936fd-dd3b-467f-b42d-9d601ba42db3
97,FRELCE3HNN,8c170077-427d-44b7-ba69-b63b63cd1e8d
98,FRELCE3J8X,1e4ce855-c456-43fd-8eeb-abe7021f2f7b
99,FRELCE3JP2,476d8d67-1711-4fef-9843-aa5ecfe758ec
100,FRELCE3K8W,31c428f8-64c8-4857-84e4-a12c4a26b714
101,FRELCE3LQN,8b289095-0007-467c-b02d-c5686d97dd24
102,FRELCE3LX2,79a0d4d9-0413-4ac1-8043-550623b587c0
103,FRELCE3MGX,5e0a9398-3bfc-405a-a181-7d14408f6e5c
104,FRELCE3N56,e2b5b2a7-e4ba-4dd3-9752-e61173583bc8
105,FRELCE3Q4L,f2d58040-5abe-4a12-955e-13e25c2f9e87
106,FRELCE3Q6V,c0c6c547-65bc-4ac3-9b3d-a9bf98f62740
107,FRELCE3QR4,24e809ae-6605-4cb0-9610-5fe8047fa621
108,FRELCE3RCD,1a293ee6-61e6-47ab-af68-e43eb88252fd
109,FRELCE3RT2,ad6480d9-b9c5-4e90-8b6a-1d0067e5638a
110,FRELCE3SJY,b53adffc-aa7a-408b-9b33-0f28deab6d97
111,FRELCE3SNJ,2d6361d7-222b-4aa4-9109-2fa497d0246d
112,FRELCE3U5A,8aeff51c-87a1-482b-b0ea-b14b1e9c0a36
113,FRELCE3UWD,a124623d-688e-4023-b8e3-41c36348c545
114,FRELCE3UXZ,a407d828-2f19-4dc7-9015-d4536ea0d9e3
